LIMIT_BAL,SEX,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,dpnm,EDUCATION_0,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2
260000.0,2,29,0,0,-1,0,0,0,78341.0,44155.0,27779.0,27738.0,27923.0,28143.0,10000.0,30150.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,0,0,1
140000.0,1,30,-1,-1,-1,-1,-1,-1,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0,1,0,0,1,0,0,0,0,1
200000.0,2,32,0,0,0,0,0,0,150204.0,153189.0,156406.0,159650.0,163625.0,167790.0,5479.0,5682.0,5850.0,6625.0,6790.0,6235.0,0,0,0,1,0,0,0,0,1
100000.0,2,23,-1,-1,-1,0,0,0,850.0,0.0,8472.0,8472.0,1768.0,0.0,0.0,8472.0,0.0,0.0,0.0,9038.0,0,0,1,0,0,0,0,0,1
500000.0,2,34,0,0,0,0,0,0,119451.0,143348.0,159291.0,262663.0,308074.0,400050.0,26000.0,20000.0,106700.0,50000.0,100000.0,200000.0,0,0,1,0,0,0,0,0,1
20000.0,1,23,2,2,0,0,0,0,15077.0,15534.0,16540.0,17267.0,17475.0,17838.0,1000.0,1273.0,1000.0,631.0,650.0,803.0,0,0,1,0,0,0,0,0,1
10000.0,1,30,0,0,0,0,0,0,9018.0,10015.0,10067.0,10105.0,9471.0,9669.0,1158.0,1210.0,1200.0,339.0,351.0,394.0,1,0,0,1,0,0,0,0,1
30000.0,1,48,0,0,0,0,0,0,29434.0,28960.0,29022.0,29201.0,29553.0,29693.0,1465.0,2000.0,1033.0,1200.0,1055.0,530.0,0,0,0,0,1,0,0,1,0
120000.0,2,32,-1,2,0,-1,-1,-1,1192.0,696.0,1210.0,1799.0,1594.0,1255.0,0.0,1179.0,1799.0,1594.0,1255.0,1133.0,0,0,1,0,0,0,0,0,1
20000.0,1,32,0,0,0,0,0,-2,19435.0,19790.0,19294.0,14092.0,6826.0,10090.0,2003.0,1448.0,1328.0,500.0,10986.0,600.0,0,0,0,1,0,0,0,0,1
160000.0,1,37,-1,-1,0,0,0,0,3090.0,52125.0,26325.0,29638.0,35474.0,38190.0,52165.0,5000.0,7000.0,8000.0,5000.0,1200.0,0,0,0,1,0,0,0,0,1
140000.0,1,73,0,0,0,0,0,0,135206.0,135316.0,134943.0,135772.0,138675.0,137197.0,5082.0,5008.0,5000.0,6016.0,5018.0,5264.0,0,0,0,1,0,0,0,1,0
50000.0,1,41,0,0,0,0,0,0,40709.0,37503.0,18086.0,18545.0,15453.0,15847.0,3000.0,2000.0,1000.0,1000.0,800.0,3000.0,0,0,0,1,0,0,0,0,1
50000.0,1,30,1,-1,2,-1,-1,-2,-264.0,264.0,264.0,7300.0,0.0,0.0,528.0,0.0,7300.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
100000.0,1,47,1,2,0,0,0,0,99823.0,96932.0,96924.0,96122.0,97432.0,95062.0,0.0,3579.0,3472.0,3287.0,3590.0,10179.0,0,0,0,1,0,0,0,1,0
110000.0,2,26,0,0,0,0,0,0,111306.0,111038.0,87820.0,67259.0,50007.0,51202.0,3931.0,2885.0,2212.0,1789.0,2000.0,2000.0,0,0,1,0,0,0,0,0,1
30000.0,1,54,0,0,0,0,0,0,22987.0,22298.0,22352.0,23221.0,24339.0,25943.0,2500.0,2000.0,1500.0,4000.0,2000.0,0.0,0,0,0,0,1,0,0,0,0
40000.0,2,24,1,2,0,0,2,2,36890.0,36023.0,36993.0,38427.0,39875.0,39272.0,0.0,1989.0,2423.0,2000.0,0.0,1000.0,1,0,0,1,0,0,0,0,1
90000.0,1,52,2,2,2,2,2,2,90603.0,92152.0,86671.0,91280.0,85868.0,91047.0,3900.0,0.0,6800.0,0.0,6500.0,0.0,0,0,0,1,0,0,0,1,0
50000.0,2,23,0,0,0,-2,-2,-2,48424.0,45300.0,-100.0,-100.0,-100.0,650.0,1500.0,100.0,0.0,0.0,750.0,247.0,0,0,0,1,0,0,0,0,1
500000.0,1,37,-1,-1,-1,-1,-1,-1,14817.0,2480.0,122750.0,4599.0,10094.0,43150.0,3904.0,123000.0,10052.0,10105.0,43168.0,16915.0,0,0,1,0,0,0,0,1,0
150000.0,2,30,-2,-2,-2,-2,-2,-2,217.0,0.0,2403.0,0.0,4932.0,402.0,0.0,2403.0,0.0,4932.0,402.0,3516.0,0,0,1,0,0,0,0,0,1
50000.0,1,34,0,-1,0,0,0,0,48973.0,50601.0,49805.0,27605.0,29447.0,30045.0,91000.0,1200.0,600.0,29057.0,1076.0,1300.0,0,0,0,1,0,0,0,0,1
500000.0,1,30,1,0,0,0,0,0,2817.0,7682.0,47403.0,36067.0,46054.0,34290.0,5037.0,47221.0,5026.0,16005.0,2000.0,1000.0,0,0,0,1,0,0,0,0,1
50000.0,1,27,1,2,0,0,0,0,47568.0,46482.0,44546.0,40745.0,19910.0,17786.0,0.0,2000.0,1241.0,633.0,616.0,2500.0,1,0,0,1,0,0,0,0,1
140000.0,2,46,0,0,0,0,0,0,132586.0,135165.0,125427.0,128016.0,127323.0,130020.0,4800.0,4500.0,4600.0,4800.0,4800.0,4500.0,0,0,0,0,1,0,0,1,0
80000.0,2,38,-1,-1,-1,0,0,0,390.0,390.0,3529.0,13207.0,13110.0,13116.0,390.0,3529.0,10207.0,500.0,600.0,3000.0,0,0,0,1,0,0,0,0,1
170000.0,2,41,0,-1,-1,-1,-1,0,21170.0,9698.0,7360.0,6380.0,11937.0,6378.0,9734.0,7373.0,6380.0,11937.0,1000.0,6881.0,0,0,0,1,0,0,0,1,0
210000.0,1,36,0,0,-1,-1,-1,-1,102245.0,103640.0,792.0,396.0,0.0,546.0,5000.0,792.0,396.0,0.0,546.0,396.0,0,0,1,0,0,0,0,1,0
220000.0,2,32,0,0,0,0,0,0,194961.0,197536.0,203251.0,208355.0,213015.0,217475.0,7200.0,9000.0,10000.0,8000.0,8010.0,8500.0,0,0,0,1,0,0,0,1,0
90000.0,2,23,0,0,0,0,-1,-1,88015.0,69701.0,52046.0,42541.0,8571.0,4653.0,5640.0,16021.0,13280.0,8571.0,19653.0,12000.0,0,0,0,1,0,0,0,0,1
30000.0,2,36,-1,-1,-1,-1,-1,-1,326.0,326.0,833.0,326.0,802.0,802.0,326.0,833.0,326.0,802.0,326.0,0.0,0,0,0,1,0,0,0,1,0
170000.0,2,30,-2,-2,-2,-1,-1,-1,5280.0,5020.0,996.0,35490.0,6000.0,5350.0,5020.0,996.0,35490.0,6000.0,5350.0,12500.0,0,0,1,0,0,0,0,1,0
210000.0,1,39,-1,-1,-1,0,0,0,22861.0,6437.0,61813.0,59024.0,63483.0,58991.0,6536.0,72037.0,5015.0,12000.0,5000.0,5000.0,0,0,1,0,0,0,0,0,1
500000.0,1,43,0,0,0,-1,-1,-1,504644.0,512650.0,0.0,3887.0,0.0,7413.0,22650.0,0.0,3887.0,0.0,7413.0,0.0,1,0,1,0,0,0,0,0,1
190000.0,2,31,-1,-1,-1,-2,-2,-2,1568.0,87.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,35520.0,0,0,0,0,1,0,0,0,1
